2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,"country-code"
13,20,28,17,46,81,30,38,31,17,31,9,4,8,10,11,120,150,59,19,,0,,,,2,48,55,307,628,1843,1981,552,1991,1390,837,880,004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,008
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,7,4,4,1,1,0,2,18,9,35,29,66,108,132,71,114,116,012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,020
0,0,0,0,0,5,33,29,29,8,2,10,0,0,0,1,115,1103,7,15,81,152,54,149,0,0,,0,0,15,37,14,3,0,6,12,32,024
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,028
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,26,12,2,32,032
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,3,,,,,,,,,,,,051
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,036
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,040
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,69,22,21,,,,,,,,,,,,031
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,044
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,6,048
0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,198,393,299,173,97,49,289,233,209,287,374,449,540,102,158,89,128,128,319,98,65,050
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,052
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,,,,,,,,,,,,112
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,056
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,084
0,0,0,0,0,0,0,20,6,0,0,0,6,2,0,0,1,37,8,3,6,7,57,17,89,18,81,55,31,74,95,89,52,59,138,215,155,204
0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,36,0,6,2,7,,0,0,6,064
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,4,0,0,7,10,9,48,068
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,070
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,2,3,5,2,4,1,1,072
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,107,197,612,329,82,45,69,122,1342,076
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,096
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,1,1,1,0,15,100
0,0,0,0,0,0,0,15,6,0,0,0,9,11,1,0,0,5,6,3,0,12,5,3,4,15,18,44,21,50,95,123,105,132,120,128,145,854
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,27,10,43,5,13,7,10,22,12,9,22,25,46,37,32,102,43,108
0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,3,48,2,10,17,132
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,84,130,297,135,146,84,63,179,104,306,628,931,974,130,815,568,591,116
0,0,5,8,0,0,0,3,0,0,2,1,13,2,0,0,0,1,16,21,51,8,12,30,37,75,38,43,123,55,107,134,137,151,230,333,255,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,124
0,0,0,0,0,4,0,14,3,0,0,0,30,1,0,0,3,18,6,10,3,4,32,11,2,10,28,43,54,52,95,63,176,70,69,149,21,140
0,0,0,3,17,132,27,64,37,21,1,2,24,25,0,0,60,110,4,326,93,192,0,,,,,,,,9,45,9,24,,,,148
0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,152
0,0,0,0,0,21,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,165,261,653,1191,1926,5065,4623,667,969,1844,1537,1626,3296,7741,9625,7442,156
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,14,33,117,66,5,16,64,141,475,129,170
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,174
0,0,0,0,0,1,380,0,0,0,0,0,0,0,0,0,47,10,0,0,0,0,0,0,0,0,0,0,1,1,12,6,12,16,9,19,136,178
